,prompt,chosen,rejected,diff,source_index
0,I rented I AM CURIOUS, AND IN LOVE CB'S complete collection THROUGHOUT THE COUNTRY'S,"!! <br /><br />Sure, there were some nice scenes and some",0.0009128451347349964,0
1,"""I Am Curious","""), ""In the Shadow of Scarlet Eyes,"" and ""Rainbow Lit."" Every",""" is just not funny enough.<|endoftext|>",0.9963714856421577,1
2,If only to avoid making this type, of film my 20-year-old son would like!<|endoftext|>, of man-child wedding cake! My vote is 1=!! <br /,0.0009342404664494001,2
3,This film was probably inspired by, the accidents at the Vietnam War and the post of war mind experiments accomplished here.," Spinal Tap, that's a slightly mangled remake, but with Stephen Strange",0.002901434898376354,3
4,"Oh,"," yeah, OH God, oh, great Director, I mean listen...<br",<|endoftext|>,0.9953789396677166,4
5,I would put," Rice's movie list really ahead of these accolades, but I've seen a", it as 1 out of 10. So Please don't consider this because i think,0.9956393804750406,5
6,Whoever wrote the screenplay for this,"? :) If you read the book, and look at familiar films being adapted or",", I'm not sure who did it.<br /><br />Helen",0.9976941643981264,6
7,When I, watched Sunday's low budget deeply flawed comedy this show served me well and I can, started watching this movie it was harder to see why other people didn't like it,0.0026353001594544567,7
8,"Who are these ""They""- the", ones who travel insane to seek asylum!<br /><br />Great point," most dependable members of your own community? Are the assigned ""teachers""",0.0033776694908737998,8
9,This is said to be a, Colonel mentioning things that he likes and generally not giving others as a mate. Why," complete waste of time, which includes 3000 song lyrics, which are pretty much unnecessary",0.0005475779762492,9
10,It was great," to see Aidan Davies, Julie Pace, and Carey Mulligan again with g",!!! A great movie! I'll give them better than?????<br /,0.00021445751190174445,10
11,I can't believe, I remember the talented guys in silver. I wonder if I missed the breaking point, the women are grinching about that so much; I don't see how,0.0021433722577057,11
12,Never cast models and, legendary actors who have regyered countless hard earned parts. I'd recommend this, actresses for unrealistic jobs. Lesley Gramm saw her career get cut short when,0.9975958954310047,12
13,Its not the cast," that gets mentioned, i think Auden and Dan got the big deal in the", that I thought was cool. Fox was making a movie about a guy who escaped,0.9904077699757182,13
14,"Today I found ""They All L","aughed at Me"" to be far more funny than what I saw in New York","aughed Together in Seeds"" free but I have nothing else to do, sorry about",0.9961537658236922,14
15,This film is just plain horrible., I constantly ask myself why I watch a movie like this.<|endoftext|>, It doesn't have the same gravity as a busy location movie is tall on the,6.212037988000021e-06,15
16,My interest in, technothèque can lead to video games that develop more graphic mind games., the story-track to this film's climax gave rise to this curiosity. In,0.0003453493118286133,16
